    PID TTY      STAT   TIME COMMAND
   1429 ?        Sl     0:02 /usr/lib/x86_64-linux-gnu/libexec/DiscoverNotifier
   1432 ?        Sl     0:01 /usr/bin/gmenudbusmenuproxy
   1437 ?        Sl     0:02 /usr/lib/x86_64-linux-gnu/libexec/kdeconnectd
   1490 ?        Ssl    0:02 /usr/libexec/packagekitd
   1525 ?        Sl     0:01 /usr/lib/x86_64-linux-gnu/libexec/kf5/kscreen_backend_launcher
   1556 ?        Ss     0:00 /usr/lib/bluetooth/obexd
   1648 ?        Sl     0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1650 ?        Sl     0:00 /usr/libexec/geoclue-2.0/demos/agent
   1661 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   2320 ?        I<     0:00 [uas]
   2385 ?        S      0:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_file.so file  local:/run/user/1000/kded5bDyFno.1.slave-socket
   4125 ?        Sl     0:08 /usr/bin/konsole
   4148 pts/1    Ss     0:00 /bin/bash
   4157 pts/1    S+     0:00 sudo wireshark
   4158 pts/1    Sl+    8:20 wireshark
   4166 pts/1    S+     0:00 dbus-launch --autolaunch eded80ff959445f39c4e5d6309e67ff6 --binary-syntax --close-stderr
   4167 ?        Ss     0:00 /usr/bin/dbus-daemon --syslog-only --fork --print-pid 5 --print-address 7 --session
   4170 ?        I<     0:00 [cfg80211]
   4620 ?        Sl     0:03 /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu -u root -c /usr/bin/ksystemlog -qwindowtitle KSystemLog
   4624 pts/2    Ss+    0:00 /usr/bin/sudo -u root /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu_stub -
   4651 pts/3    Ss+    0:00 /usr/bin/sudo -u root /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu_stub -
   4652 pts/3    S+     0:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu_stub -
   4655 ?        Ss     0:00 sh -c /usr/bin/ksystemlog -qwindowtitle KSystemLog
   4656 ?        Sl     2:37 /usr/bin/ksystemlog -qwindowtitle KSystemLog
   4945 ?        S      0:00 [scsi_eh_9]
   4946 ?        I<     0:00 [scsi_tmf_9]
   4947 ?        S      0:00 [usb-storage]
   5264 pts/4    Ss     0:00 /bin/bash
   6891 ?        Sl     0:05 /usr/lib/x86_64-linux-gnu/libexec/kf5/kio_http_cache_cleaner
   7585 ?        I      0:00 [kworker/8:2-mm_percpu_wq]
   8613 ?        I      0:00 [kworker/9:1-events]
   8752 ?        I      0:00 [kworker/8:0-rcu_par_gp]
   8753 ?        I      0:00 [kworker/0:0-events]
   8915 ?        Sl     0:04 /usr/bin/kate -b
   9017 ?        I      0:00 [kworker/7:0-mm_percpu_wq]
   9018 ?        I      0:00 [kworker/7:3-events]
   9057 ?        I      0:00 [kworker/3:0-rcu_par_gp]
   9123 ?        I      0:00 [kworker/2:2-rcu_par_gp]
   9124 ?        I      0:00 [kworker/6:1-rcu_par_gp]
   9149 ?        I      0:00 [kworker/11:2-events]
   9150 ?        I      0:00 [kworker/10:3-events]
   9152 ?        I      0:00 [kworker/4:0-rcu_par_gp]
   9153 ?        I      0:00 [kworker/5:2-rcu_par_gp]
   9187 ?        I      0:00 [kworker/0:1-events]
   9359 ?        I      0:00 [kworker/5:1-mm_percpu_wq]
   9360 ?        I      0:00 [kworker/4:1-events]
   9361 ?        I      0:00 [kworker/10:0-rcu_par_gp]
   9433 ?        D      0:00 [kworker/u64:11+events_unbound]
   9448 ?        I      0:00 [kworker/9:3-mm_percpu_wq]
   9449 ?        I      0:00 [kworker/11:3-rcu_gp]
   9450 ?        I      0:00 [kworker/1:0-rcu_par_gp]
   9451 ?        I      0:00 [kworker/2:0-mm_percpu_wq]
   9452 ?        I      0:00 [kworker/3:2-rcu_gp]
   9453 ?        I      0:00 [kworker/6:0-events]
   9456 ?        I      0:00 [kworker/1:1-events]
   9504 ?        D      0:00 [kworker/u64:75+events_unbound]
   9681 ?        I      0:00 [kworker/u64:0-flush-8:0]
   9697 ?        I      0:00 [kworker/u64:1-flush-8:0]
   9740 ?        I      0:00 [kworker/u64:2-flush-8:0]
   9741 ?        I      0:00 [kworker/11:0-events]
   9742 ?        I      0:00 [kworker/10:1-mm_percpu_wq]
   9744 ?        I      0:00 [kworker/7:1]
   9745 ?        I      0:00 [kworker/3:1-events]
   9749 ?        I      0:00 [kworker/1:2-mm_percpu_wq]
   9751 ?        I      0:00 [kworker/2:1-rcu_par_gp]
   9752 ?        I      0:00 [kworker/8:1-rcu_gp]
   9754 ?        I      0:00 [kworker/8:3-events]
   9755 ?        I      0:00 [kworker/1:3-rcu_par_gp]
   9756 ?        I      0:00 [kworker/u64:3]
   9757 ?        I      0:00 [kworker/0:2-events]
   9759 pts/4    R+     0:00 ps -ax
