UID          PID    PPID  C STIME TTY          TIME CMD
root       10566       2  0 19:05 ?        00:00:00 [kworker/6:0-events]
dongsub    10979    1411  0 19:10 ?        00:00:01 /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu -u root -c /usr/bin/ksystemlog -qwindowtitle KSystemLog
root       10983   10979  0 19:10 pts/4    00:00:00 /usr/bin/sudo -u root /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu_stub -
root       11007   10979  0 19:10 pts/5    00:00:00 /usr/bin/sudo -u root /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu_stub -
root       11008   11007  0 19:10 pts/5    00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kdesu_stub -
root       11011   11008  0 19:10 ?        00:00:00 sh -c /usr/bin/ksystemlog -qwindowtitle KSystemLog
root       11012   11011  1 19:10 ?        00:01:11 /usr/bin/ksystemlog -qwindowtitle KSystemLog
root       11263       2  0 19:14 ?        00:00:00 [kworker/1:0-events]
root       11264       2  0 19:14 ?        00:00:00 [kworker/7:1-mm_percpu_wq]
root       11265       2  0 19:14 ?        00:00:00 [kworker/6:2-events]
root       11782       2  0 19:22 ?        00:00:08 [kworker/u64:2-events_unbound]
root       11908       2  0 19:25 ?        00:00:00 [kworker/9:2-events]
root       11912       2  0 19:25 ?        00:00:00 [kworker/0:1-events]
root       12312       2  0 19:31 ?        00:00:00 [kworker/8:2-events_freezable]
root       12313       2  0 19:31 ?        00:00:00 [kworker/1:1-events]
root       12323       2  0 19:32 ?        00:00:00 [kworker/3:0-rcu_par_gp]
root       12324       2  0 19:32 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root       12331       2  0 19:32 ?        00:00:00 [kworker/7:2]
root       12336       2  0 19:32 ?        00:00:00 [kworker/5:1-rcu_par_gp]
root       12337       2  0 19:32 ?        00:00:00 [kworker/11:0-events]
root       12356       2  0 19:32 ?        00:00:00 [kworker/11:3-events]
root       12467    1590  0 19:33 pts/1    00:00:00 sudo wireshark
root       12468   12467 10 19:34 pts/1    00:04:49 wireshark
root       12863       2  0 19:36 ?        00:00:00 [kworker/8:3-events]
root       13743       2  0 19:41 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
dongsub    14900    1411 31 19:57 ?        00:07:34 /usr/lib/firefox/firefox
dongsub    15037   14900  0 19:57 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20211215221728 -prefsLen 1 -prefMapSize 246551 -appDir /usr/lib/firefox/browser 14900 true socket
dongsub    15072   14900  0 19:57 ?        00:00:04 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 139 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
dongsub    15130   14900  2 19:57 ?        00:00:33 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 4917 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
dongsub    15196   14900  7 19:57 ?        00:01:43 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 5616 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
dongsub    15203   14900  1 19:57 ?        00:00:16 /usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 5616 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
root       15267       2  0 19:57 ?        00:00:00 [kworker/5:0-rcu_gp]
root       15268       2  0 19:57 ?        00:00:00 [kworker/10:0-rcu_par_gp]
root       15342       2  0 19:57 ?        00:00:00 [kworker/4:2-events]
root       15343   12468  0 19:57 pts/1    00:00:11 /usr/bin/dumpcap -n -i enp5s0 -y EN10MB -Z none
dongsub    15374   14900  9 19:57 ?        00:02:12 /usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 6038 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
root       15442       2  0 19:58 ?        00:00:01 [kworker/u64:3-events_unbound]
dongsub    15602   14900  0 19:59 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20211215221728 -prefsLen 6202 -prefMapSize 246551 -appDir /usr/lib/firefox/browser 14900 true rdd
dongsub    15609   14900  0 19:59 ?        00:00:01 /usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 6202 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
dongsub    15692   14900  0 20:00 ?        00:00:01 /usr/lib/firefox/firefox -contentproc -childID 8 -isForBrowser -prefsLen 6202 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
dongsub    15760   14900  9 20:01 ?        00:01:48 /usr/lib/firefox/firefox -contentproc -childID 9 -isForBrowser -prefsLen 6202 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
dongsub    15798   14900  0 20:01 ?        00:00:03 /usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 6202 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
root       16110       2  0 20:06 ?        00:00:00 [kworker/9:0-inet_frag_wq]
root       16111       2  0 20:06 ?        00:00:00 [kworker/10:2-mm_percpu_wq]
root       16558       2  0 20:08 ?        00:00:01 [kworker/u64:5-events_unbound]
root       16560       2  0 20:08 ?        00:00:01 [kworker/u64:8-events_unbound]
dongsub    17043   14900  0 20:15 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 13 -isForBrowser -prefsLen 6358 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
dongsub    17173       1  0 20:16 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_trash.so trash  local:/run/user/1000/plasmashellePDUZg.22.slave-socket
