    PID TTY          TIME CMD
    390 ?        00:00:00 jbd2/sda2-8
    391 ?        00:00:00 ext4-rsv-conver
    393 ?        00:00:00 kworker/5:1H-kblockd
    394 ?        00:00:00 kworker/9:1H-kblockd
    403 ?        00:00:00 kworker/10:1H-kblockd
    421 ?        00:00:00 kworker/2:1H-kblockd
    436 ?        00:00:00 kworker/4:1H-kblockd
    441 ?        00:00:00 systemd-journal
    475 ?        00:00:00 systemd-udevd
    479 ?        00:00:00 kworker/6:1H-kblockd
    545 ?        00:00:00 ccp-1-q2
    546 ?        00:00:00 ccp-1-q3
    547 ?        00:00:00 ccp-1-q4
    695 ?        00:00:00 systemd-resolve
    696 ?        00:00:00 systemd-timesyn
    700 ?        00:00:00 kworker/11:3-rcu_par_gp
    701 ?        00:00:00 haveged
    714 ?        00:00:00 accounts-daemon
    715 ?        00:00:00 acpid
    721 ?        00:00:00 avahi-daemon
    722 ?        00:00:00 cron
    723 ?        00:00:00 dbus-daemon
    728 ?        00:00:00 NetworkManager
    738 ?        00:00:00 irqbalance
    739 ?        00:00:00 networkd-dispat
    741 ?        00:00:00 polkitd
    743 ?        00:00:00 rsyslogd
    746 ?        00:00:00 smartd
    756 ?        00:00:00 systemd-logind
    761 ?        00:00:00 udisksd
    762 ?        00:00:00 wpa_supplicant
    769 ?        00:00:00 avahi-daemon
    771 ?        00:00:00 kworker/7:2-events
    828 ?        00:00:00 cupsd
    832 ?        00:00:00 unattended-upgr
    834 ?        00:00:00 ModemManager
    856 ?        00:00:00 sddm
    883 tty1     00:01:49 Xorg
    942 ?        00:00:00 rtkit-daemon
    970 ?        00:00:00 upowerd
   1042 ?        00:00:00 cups-browsed
   1044 ?        00:00:00 whoopsie
   1045 ?        00:00:00 kerneloops
   1047 ?        00:00:00 kerneloops
   1053 ?        00:00:00 sddm-helper
   1055 ?        00:00:00 systemd
   1056 ?        00:00:00 (sd-pam)
   1062 ?        00:00:00 pipewire
   1063 ?        00:00:00 pipewire-media-
   1064 ?        00:00:01 pulseaudio
   1066 ?        00:00:00 dbus-daemon
   1071 ?        00:00:00 kwalletd5
   1072 ?        00:00:00 startplasma-x11
   1186 ?        00:00:00 ssh-agent
   1223 ?        00:00:00 gsettings-helpe
   1303 ?        00:00:00 start_kdeinit
   1304 ?        00:00:00 kdeinit5
   1305 ?        00:00:00 klauncher
   1322 ?        00:00:02 kded5
   1326 ?        00:01:10 kwin_x11
   1333 ?        00:00:00 dconf-service
   1338 ?        00:00:00 xsettingsd
   1366 ?        00:00:00 ksmserver
   1367 ?        00:00:00 kglobalaccel5
   1369 ?        00:00:01 kactivitymanage
   1390 ?        00:00:00 xembedsniproxy
   1392 ?        00:00:00 org_kde_powerde
   1394 ?        00:00:00 kaccess
   1403 ?        00:00:00 polkit-kde-auth
   1406 ?        00:00:37 plasmashell
   1429 ?        00:00:00 DiscoverNotifie
   1432 ?        00:00:00 gmenudbusmenupr
   1437 ?        00:00:00 kdeconnectd
   1490 ?        00:00:01 packagekitd
   1525 ?        00:00:00 kscreen_backend
   1556 ?        00:00:00 obexd
   1648 ?        00:00:00 at-spi-bus-laun
   1650 ?        00:00:00 agent
   1661 ?        00:00:00 dbus-daemon
   2320 ?        00:00:00 uas
   2385 ?        00:00:00 kioslave5
   3285 ?        00:00:00 kworker/9:0-rcu_par_gp
   4125 ?        00:00:03 konsole
   4148 pts/1    00:00:00 bash
   4157 pts/1    00:00:00 sudo
   4158 pts/1    00:01:13 wireshark
   4166 pts/1    00:00:00 dbus-launch
   4167 ?        00:00:00 dbus-daemon
   4170 ?        00:00:00 cfg80211
   4259 pts/1    00:00:00 dumpcap
   4260 ?        00:03:35 GeckoMain
   4396 ?        00:00:00 Socket Process
   4424 ?        00:00:05 Privileged Cont
   4467 ?        00:00:32 WebExtensions
   4535 ?        00:00:00 plasma-browser-
   4545 ?        00:00:03 Isolated Web Co
   4548 ?        00:00:18 Isolated Web Co
   4552 ?        00:00:19 Isolated Web Co
   4620 ?        00:00:00 kdesu
   4624 pts/2    00:00:00 sudo
   4651 pts/3    00:00:00 sudo
   4652 pts/3    00:00:00 kdesu_stub
   4655 ?        00:00:00 sh
   4656 ?        00:00:43 ksystemlog
   4688 ?        00:00:00 kworker/6:0-events
   4689 ?        00:00:00 kworker/8:0-events
   4756 ?        00:00:00 kworker/u64:1-events_unbound
   4775 ?        00:00:00 kworker/5:1-events
   4776 ?        00:00:00 kworker/4:2-events
   4777 ?        00:00:00 kworker/0:0-rcu_gp
   4782 ?        00:00:00 kworker/3:1-rcu_par_gp
   4786 ?        00:00:00 kworker/1:1-events
   4790 ?        00:00:00 kworker/u64:29-ext4-rsv-conversion
   4809 ?        00:00:00 kworker/u64:48-flush-8:0
   4850 ?        00:00:00 kworker/2:3-events
   4852 ?        00:00:00 kworker/2:4-events
   4945 ?        00:00:00 scsi_eh_9
   4946 ?        00:00:00 scsi_tmf_9
   4947 ?        00:00:00 usb-storage
   5264 pts/4    00:00:00 bash
   5578 ?        00:00:00 kworker/9:2-rcu_par_gp
   5584 ?        00:00:00 kworker/4:1-mm_percpu_wq
   5586 ?        00:00:00 kworker/11:1-rcu_gp
   5678 ?        00:00:00 kworker/7:0-mm_percpu_wq
   5679 ?        00:00:00 kworker/0:1-events
   5682 ?        00:00:00 kworker/6:3-events
   5683 ?        00:00:00 kworker/1:2-events
   5731 ?        00:00:00 kworker/3:2-rcu_par_gp
   5732 ?        00:00:00 kworker/5:2-events
   5743 ?        00:00:01 Isolated Web Co
   5785 ?        00:00:00 kworker/10:0-mm_percpu_wq
   5831 ?        00:00:00 kworker/u64:0-events_freezable_power_
   5852 ?        00:00:11 Isolated Web Co
   5897 ?        00:00:00 kworker/8:1
   5929 ?        00:00:00 kworker/10:3-events
   6021 ?        00:00:42 Isolated Web Co
   6047 ?        00:00:00 kworker/4:0-events
   6048 ?        00:00:00 kworker/9:1-mm_percpu_wq
   6049 ?        00:00:00 kworker/11:0-mm_percpu_wq
   6170 ?        00:00:00 kworker/u64:3-events_unbound
   6751 ?        00:00:00 kworker/2:0
   6764 ?        00:00:02 Isolated Web Co
   6805 ?        00:00:00 Web Content
   6839 ?        00:00:09 RDD Process
   6872 ?        00:00:00 kioslave5
   6874 ?        00:00:00 kioslave5
   6891 ?        00:00:00 kio_http_cache_
   6983 ?        00:00:00 kworker/1:0
   6993 ?        00:00:00 kworker/3:0-events
   7003 ?        00:00:00 Web Content
   7042 ?        00:00:00 kworker/5:0
   7045 ?        00:00:00 Web Content
   7080 pts/4    00:00:00 ps
